round,winner,results,year,gender,player1,player2,country1,country2,firstServe1,firstServe2,ace1,ace2,double1,double2,firstPointWon1,firstPointWon2,secPointWon1,secPointWon2,fastServe1,fastServe2,avgFirstServe1,avgFirstServe2,avgSecServe1,avgSecServe2,break1,break2,return1,return2,total1,total2,winner1,winner2,error1,error2,net1,net2
Final,Novak Djokovic,4-6 6-4 6-3 7-6(2),2008,m,Novak Djokovic,Jo-Wilfried Tsonga,SRB,FRA,56%,71%,11,15,2,2,78%,71%,63%,48%,209,218,192,189,147,147,33%,40%,36%,29%,136,122,46,44,35,41,79%,52%
semi,Novak Djokovic,7-5 6-3 7-6(5),2008,m,Novak Djokovic,Roger Federer,SRB,SUI,68%,61%,13,10,6,2,78%,72%,42%,43%,208,209,191,191,155,155,36%,22%,39%,34%,118,104,50,38,32,32,79%,71%
quarter,Novak Djokovic,6-0 6-3 7-5,2008,m,Novak Djokovic,David Ferrer,SRB,ESP,62%,56%,7,4,3,4,76%,57%,51%,43%,210,190,189,179,149,149,43%,11%,49%,33%,107,77,34,23,32,33,83%,52%
quarter,Roger Federer,7-5 7-6(5) 6-4,2008,m,Roger Federer,James Blake,SUI,USA,68%,58%,13,8,0,5,75%,70%,58%,43%,207,213,190,190,153,153,50%,100%,41%,30%,115,97,46,38,24,33,71%,60%
quarter,Rafael Nadal,7-5 6-3 6-1,2008,m,Rafael Nadal,Jarkko Nieminen,ESP,FIN,60%,69%,5,2,5,2,78%,63%,49%,36%,201,208,183,176,126,126,67%,13%,45%,34%,102,81,36,25,23,28,78%,53%
Fourth,Roger Federer,6-4 7-6(7) 6-3,2008,m,Roger Federer,Tomas Berdych,SUI,CZE,63%,55%,11,7,1,4,75%,75%,74%,49%,205,215,189,200,160,160,43%,33%,36%,26%,105,85,45,32,17,27,50%,53%
Fourth,Novak Djokovic,7-5 6-3 6-3,2008,m,Novak Djokovic,Lleyton Hewitt,SRB,AUS,60%,52%,13,6,6,4,73%,60%,45%,42%,208,206,190,188,158,158,58%,43%,49%,38%,108,86,42,26,36,41,75%,70%
Fourth,Rafael Nadal,6-4 3-0 ret.,2008,m,Rafael Nadal,Paul-Henri Mathieu,ESP,FRA,93%,59%,3,5,1,3,89%,55%,0%,40%,198,203,184,190,158,158,100%,-,51%,17%,43,23,14,12,9,15,100%,38%
Third,Novak Djokovic,6-3 6-1 6-3,2008,m,Novak Djokovic,Sam Querrey,SRB,USA,76%,62%,5,8,1,5,75%,61%,80%,31%,211,217,187,197,155,155,50%,25%,50%,24%,94,61,33,20,22,25,62%,62%
Third,Roger Federer,6-7(5) 7-6(1) 5-7 6-1 10-8,2008,m,Roger Federer,Janko Tipsarevic,SUI,SRB,64%,52%,39,14,1,6,89%,71%,54%,57%,209,213,190,196,150,150,24%,100%,36%,24%,202,173,96,52,64,47,75%,55%
Third,Rafael Nadal,7-5 6-2 6-3,2008,m,Rafael Nadal,Gilles Simon,ESP,FRA,60%,61%,7,5,1,0,75%,63%,62%,43%,203,204,181,181,142,142,35%,17%,45%,30%,109,86,27,38,22,48,82%,70%
Second,Roger Federer,6-1 6-2 6-0,2008,m,Roger Federer,Fabrice Santoro,SUI,FRA,69%,65%,7,2,1,0,76%,44%,79%,38%,203,194,184,174,134,134,50%,0%,58%,23%,87,43,53,11,18,4,81%,50%
Second,Novak Djokovic,6-1 6-2 6-2,2008,m,Novak Djokovic,Simone Bolelli,SRB,ITA,62%,59%,12,5,3,2,76%,50%,64%,42%,205,198,188,183,147,147,75%,0%,53%,29%,86,51,28,16,24,39,50%,63%
Second,Rafael Nadal,6-0 6-2 6-2,2008,m,Rafael Nadal,Florent Serra,ESP,FRA,72%,71%,9,0,1,2,77%,49%,42%,17%,211,196,185,181,143,143,64%,67%,60%,33%,83,47,39,16,16,26,67%,43%
First,Novak Djokovic,6-0 6-2 7-6(5),2008,m,Novak Djokovic,Benjamin Becker,SRB,GER,63%,46%,6,7,4,2,84%,58%,45%,43%,211,226,184,197,159,159,86%,50%,50%,30%,96,65,23,17,22,23,81%,36%
First,Roger Federer,6-0 6-3 6-0,2008,m,Roger Federer,Diego Hartfield,SUI,ARG,72%,63%,11,3,1,1,83%,51%,56%,26%,8,198,85,180,155,155,70%,0%,58%,25%,85,42,38,11,14,20,69%,50%
First,Rafael Nadal,7-6(3) 7-5 6-1,2008,m,Rafael Nadal,Viktor Troicki,ESP,SRB,61%,67%,4,14,4,2,67%,72%,76%,31%,201,212,184,192,143,143,42%,40%,41%,29%,107,85,24,40,16,41,77%,65%
First,Rafael Nadal,6-0 6-2 6-2,2009,m,Rafael Nadal,Christophe Rochus,ESP,BEL,69%,65%,10,1,2,2,91%,57%,75%,24%,198,182,185,167,146,129,64%,-,54%,14%,83,40,47,7,18,22,89%,50%
First,Novak Djokovic,6-2 6-3 7-5,2009,m,Novak Djokovic,Andrea Stoppini,SRB,ITA,68%,54%,8,6,1,6,68%,56%,58%,41%,201,196,190,172,161,145,39%,50%,51%,35%,104,80,34,28,27,36,47%,59%
First,Roger Federer,6-1 7-6(4) 7-5,2009,m,Roger Federer,Andreas Seppi,SUI,ITA,59%,60%,9,1,5,5,76%,68%,57%,50%,203,198,190,182,156,142,30%,0%,41%,33%,122,102,45,28,43,45,72%,68%
First,Roger Federer,6-3 6-4 6-0,2004,m,Roger Federer,Alex Jr. Bogomolov,SUI,RUS,60%,67%,13,0,3,3,80%,65%,74%,33%,200,185,176,170,150,150,56%,-,46%,22%,90,59,42,9,25,22,83%,67%
First,Rafael Nadal,6-1 6-2 6-2,2004,m,Rafael Nadal,Michal Tabara,ESP,CZE,58%,48%,5,4,3,5,78%,62%,63%,38%,190,200,164,183,143,143,60%,0%,51%,28%,82,50,21,10,25,34,73%,42%
semi,Rafael Nadal,7-6(4) 6-3 6-3,2014,m,Rafael Nadal,Roger Federer,ESP,SUI,65%,66%,3,8,1,1,73%,65%,73%,50%,198,203,175,181,152,152,29%,50%,40%,27%,105,86,28,34,25,50,30%,55%
quarter,Rafael Nadal,3-6 7-6(3) 7-6(7) 6-2,2014,m,Rafael Nadal,Grigor Dimitrov,ESP,BUL,73%,58%,3,16,7,5,73%,71%,67%,49%,201,219,168,189,152,152,36%,50%,38%,29%,147,132,42,54,47,61,89%,68%
quarter,Roger Federer,6-3 6-4 6-7(6) 6-3,2014,m,Roger Federer,Andy Murray,SUI,GBR,64%,61%,10,9,0,1,78%,67%,64%,49%,204,208,184,183,131,131,24%,50%,40%,27%,147,121,54,41,42,46,74%,63%
Fourth,Rafael Nadal,7-6(3) 7-5 7-6(3),2014,m,Rafael Nadal,Kei Nishikori,ESP,JPN,71%,66%,12,2,1,1,76%,67%,39%,41%,202,199,185,178,148,148,63%,40%,42%,35%,129,110,36,36,28,51,53%,80%
Fourth,Roger Federer,6-3 7-5 6-4,2014,m,Roger Federer,Jo-Wilfried Tsonga,SUI,FRA,57%,52%,7,8,1,1,88%,70%,69%,55%,202,224,184,191,146,146,43%,0%,38%,20%,100,72,43,29,21,28,83%,44%
Fourth,Novak Djokovic,6-3 6-0 6-2,2014,m,Novak Djokovic,Fabio Fognini,SRB,ITA,72%,59%,7,3,2,7,88%,59%,71%,35%,200,201,177,180,139,139,27%,-,51%,17%,96,55,33,20,21,44,75%,69%
Third,Roger Federer,6-2 6-2 6-3,2014,m,Roger Federer,Teimuraz Gabashvili,SUI,RUS,62%,69%,6,3,1,5,87%,60%,57%,36%,202,194,180,178,148,148,36%,0%,47%,25%,98,66,35,27,18,33,55%,37%
Third,Rafael Nadal,6-1 6-2 6-3,2014,m,Rafael Nadal,Gael Monfils,ESP,FRA,67%,69%,2,10,0,5,72%,57%,77%,33%,205,216,182,190,154,154,50%,0%,50%,27%,107,70,21,33,18,57,69%,44%
Third,Novak Djokovic,6-3 6-3 7-5,2014,m,Novak Djokovic,Denis Istomin,SRB,UZB,63%,65%,6,5,1,1,78%,73%,69%,33%,205,203,188,182,143,143,63%,100%,41%,26%,93,71,31,14,23,26,76%,33%
Second,Rafael Nadal,6-2 6-4 6-2,2014,m,Rafael Nadal,Thanasi Kokkinakis,ESP,AUS,74%,67%,7,4,1,3,82%,63%,58%,38%,199,203,179,187,153,153,50%,0%,45%,24%,91,61,39,21,19,24,79%,80%
Second,Roger Federer,6-2 6-1 7-6(4),2014,m,Roger Federer,Blaz Kavcic,SUI,SLO,76%,62%,11,6,0,3,78%,52%,50%,47%,208,202,180,181,142,142,55%,50%,49%,29%,103,72,52,14,35,21,79%,31%
Second,Novak Djokovic,6-0 6-4 6-4,2014,m,Novak Djokovic,Leonardo Mayer,SRB,ARG,66%,52%,12,3,2,7,82%,64%,74%,41%,202,207,179,194,171,171,83%,-,47%,21%,93,59,30,14,11,39,56%,64%
First,Rafael Nadal,6-4 ret.,2014,m,Rafael Nadal,Bernard Tomic,ESP,AUS,62%,71%,5,3,1,1,88%,75%,60%,38%,203,210,181,186,143,143,100%,-,36%,23%,30,24,13,13,5,7,100%,60%
First,Roger Federer,6-4 6-4 6-2,2014,m,Roger Federer,James Duckworth,SUI,AUS,58%,52%,11,13,5,3,89%,75%,58%,43%,207,216,185,176,162,162,24%,0%,40%,24%,96,74,30,34,17,38,82%,56%
First,Novak Djokovic,6-3 7-6(2) 6-1,2014,m,Novak Djokovic,Lukas Lacko,SRB,SVK,68%,61%,10,5,0,1,83%,63%,68%,50%,202,201,190,182,153,153,50%,33%,42%,22%,101,70,40,17,30,29,89%,73%
